episode,episode_return,episode_steps,episode_goal_reached,q_value_mean,loss
1,-1614.449951171875,1685.0,1.0,1.0062178373336792,0.19858971238136292
2,-467.5,894.0,1.0,0.9606907367706299,0.1671835035085678
3,-1502.75,1939.0,1.0,1.7619799375534058,0.12738598883152008
4,-1190.800048828125,2000.0,0.0,0.6690961122512817,0.12998491525650024
5,-864.4000244140625,2000.0,0.0,0.9880110621452332,0.07131126523017883
6,-798.2000122070312,2000.0,0.0,19.83624839782715,0.1589202880859375
7,-641.0,2000.0,0.0,4.489329814910889,0.3554252088069916
8,-594.0,2000.0,0.0,13.845924377441406,0.15798644721508026
9,-614.5999755859375,2000.0,0.0,42.741233825683594,0.09037485718727112
10,-680.5999755859375,2000.0,0.0,25.504413604736328,0.21823109686374664
11,-706.2000122070312,2000.0,0.0,-0.30223196744918823,0.09879668802022934
12,-704.7999877929688,2000.0,0.0,-0.47855859994888306,0.17069898545742035
13,-631.2000122070312,2000.0,0.0,-0.5895675420761108,0.03900061920285225
14,-664.5999755859375,2000.0,0.0,-0.49449869990348816,0.07023600488901138
15,-639.7999877929688,2000.0,0.0,16.297216415405273,0.07126184552907944
16,-597.0,2000.0,0.0,483.4458923339844,0.015544602647423744
17,-612.2000122070312,2000.0,0.0,-1.3520617485046387,0.07917772233486176
18,-688.5999755859375,2000.0,0.0,-1.3826520442962646,0.10429621487855911
19,-1394.800048828125,2000.0,0.0,-1.6110460758209229,0.06417722254991531
20,-1406.4000244140625,2000.0,0.0,2242.487548828125,0.012904183007776737
21,-1387.199951171875,2000.0,0.0,2544.92724609375,0.03701024875044823
22,-1653.199951171875,2000.0,0.0,1278.61669921875,0.024951638653874397
23,-1529.5999755859375,2000.0,0.0,739.4303588867188,0.06109556183218956
24,-1519.800048828125,2000.0,0.0,-3.4649057388305664,0.03814401850104332
25,-1562.199951171875,2000.0,0.0,1309.1689453125,0.028092922642827034
26,-1635.5999755859375,2000.0,0.0,-4.088781356811523,0.07444055378437042
27,-1608.199951171875,2000.0,0.0,7474.9189453125,0.06563978642225266
28,-1741.0,2000.0,0.0,-5.07205867767334,0.0398009829223156
29,-1666.0,2000.0,0.0,-4.9996819496154785,0.03269190713763237
30,-1631.199951171875,2000.0,0.0,-5.8572540283203125,0.056973397731781006
31,-1723.4000244140625,2000.0,0.0,-6.107687950134277,0.015588395297527313
32,-1657.199951171875,2000.0,0.0,16119.3251953125,0.07551031559705734
33,-1707.4000244140625,2000.0,0.0,20514.029296875,0.011970353312790394
34,-1674.5999755859375,2000.0,0.0,-7.012618541717529,0.06261812895536423
35,-1664.5999755859375,2000.0,0.0,-7.339030742645264,0.03212886303663254
36,-1716.5999755859375,2000.0,0.0,-6.800481796264648,0.008674324490129948
37,-1565.5999755859375,2000.0,0.0,-7.32864236831665,0.012338342145085335
38,-1572.4000244140625,2000.0,0.0,10674.33203125,0.01437512319535017
39,-1681.800048828125,2000.0,0.0,-8.227432250976562,0.005169364623725414
40,-1593.199951171875,2000.0,0.0,-8.529216766357422,0.026826053857803345
41,-1687.800048828125,2000.0,0.0,31393.755859375,0.048099517822265625
42,-1700.4000244140625,2000.0,0.0,-9.052911758422852,0.026704546064138412
43,-1854.4000244140625,2000.0,0.0,-9.497634887695312,0.03807316720485687
44,-1602.5999755859375,2000.0,0.0,-9.845392227172852,0.01790471374988556
45,-1782.0,2000.0,0.0,-10.206178665161133,0.026661250740289688
46,-1643.0,2000.0,0.0,-10.280293464660645,0.019150260835886
47,-1640.199951171875,2000.0,0.0,-10.596503257751465,0.013822657987475395
48,-1685.800048828125,2000.0,0.0,-11.015422821044922,0.021680396050214767
49,-1751.199951171875,2000.0,0.0,-11.37725830078125,0.03242145851254463
50,-1672.0,2000.0,0.0,-11.721881866455078,0.019195478409528732
51,-1289.699951171875,1482.0,0.0,-11.476694107055664,0.018814876675605774
