episode,episode_return,episode_steps,episode_goal_reached,q_value_mean,loss
1,434.20001220703125,713.0,1.0,0.7734822630882263,0.0038023432716727257
2,359.3999938964844,401.0,1.0,1.8519426584243774,0.3115195035934448
3,345.3999938964844,251.0,1.0,2.012281656265259,0.1482936441898346
4,415.79998779296875,512.0,1.0,7.360962867736816,1.9588576555252075
5,369.29998779296875,372.0,1.0,19.990388870239258,5.443559169769287
6,417.6000061035156,519.0,1.0,34.67536544799805,1.7693707942962646
7,389.8999938964844,376.0,1.0,43.80608367919922,3.559760808944702
8,525.7000122070312,1098.0,1.0,66.65272521972656,6.3839569091796875
9,455.5,610.0,1.0,69.00769805908203,4.125675678253174
10,347.0,320.0,1.0,91.16670989990234,4.974459171295166
11,557.0,900.0,1.0,114.04134368896484,2.6769726276397705
12,423.6000061035156,629.0,1.0,117.6766586303711,4.52645206451416
13,552.5,1345.0,1.0,115.59091186523438,3.733919382095337
14,740.4000244140625,1916.0,1.0,109.20137786865234,0.9574997425079346
15,487.20001220703125,1038.0,1.0,100.45243835449219,0.5174272060394287
16,371.1000061035156,414.0,1.0,98.33285522460938,0.27767813205718994
17,490.79998779296875,752.0,1.0,92.11796569824219,0.36006972193717957
18,411.1000061035156,534.0,1.0,87.9834213256836,0.33117005228996277
19,625.7999877929688,1372.0,1.0,76.15538024902344,0.3433339297771454
20,534.0999755859375,949.0,1.0,70.41893005371094,0.9903336763381958
21,449.20001220703125,698.0,1.0,65.76873016357422,0.10212398320436478
22,1057.9000244140625,3431.0,1.0,70.95556640625,0.6546914577484131
23,547.5,885.0,1.0,67.02040100097656,0.2004171758890152
24,460.5,625.0,1.0,64.74130249023438,0.19704177975654602
25,437.29998779296875,507.0,1.0,61.17881393432617,0.07771136611700058
26,462.0,715.0,1.0,58.51417922973633,0.05121823400259018
27,480.0,700.0,1.0,52.60847473144531,0.04178284481167793
28,374.20001220703125,303.0,1.0,52.728607177734375,0.056713733822107315
29,475.5,600.0,1.0,49.92316436767578,0.0839209333062172
30,475.20001220703125,668.0,1.0,45.93204116821289,0.05616336315870285
31,465.5,585.0,1.0,43.93124771118164,0.03879166767001152
32,395.0,350.0,1.0,42.28274917602539,0.057647787034511566
33,466.70001220703125,578.0,1.0,40.00386047363281,0.020549261942505836
34,445.1000061035156,524.0,1.0,38.04411697387695,0.13497523963451385
35,374.70001220703125,278.0,1.0,38.209957122802734,0.0358893945813179
36,445.3999938964844,501.0,1.0,36.52479934692383,0.023452473804354668
37,412.0,365.0,1.0,34.60429000854492,0.03577882796525955
38,384.3999938964844,291.0,1.0,34.389320373535156,2.5621957778930664
39,347.20001220703125,188.0,1.0,33.11548614501953,0.06188005208969116
40,426.29998779296875,407.0,1.0,32.174842834472656,0.031184960156679153
41,381.20001220703125,268.0,1.0,32.26408386230469,0.04259677231311798
42,1400.699951171875,4253.0,1.0,60.96836471557617,0.7286613583564758
43,586.0,1280.0,1.0,58.915306091308594,0.5087851285934448
44,622.5,1020.0,1.0,53.37851333618164,0.3067776560783386
45,1440.300048828125,4517.0,1.0,88.54711151123047,2.4859507083892822
46,520.0999755859375,689.0,1.0,94.86882019042969,2.2048044204711914
47,382.1000061035156,344.0,1.0,99.56383514404297,3.1834540367126465
48,514.2000122070312,833.0,1.0,112.9044418334961,2.0981295108795166
49,375.20001220703125,353.0,1.0,112.2390365600586,2.593238592147827
50,368.0,315.0,1.0,110.92066955566406,1.3946017026901245
51,498.3999938964844,646.0,1.0,110.41447448730469,1.534812092781067
52,433.20001220703125,563.0,1.0,107.70841979980469,0.8410269021987915
53,485.1000061035156,639.0,1.0,104.500732421875,0.360759437084198
54,426.3999938964844,456.0,1.0,99.3718490600586,0.3271532356739044
55,337.20001220703125,203.0,1.0,94.39431762695312,0.22089797258377075
56,394.0,395.0,1.0,93.96147155761719,0.221288800239563
57,395.29998779296875,447.0,1.0,89.93443298339844,0.20848973095417023
58,332.29998779296875,172.0,1.0,84.91446685791016,3.1854939460754395
59,311.70001220703125,118.0,1.0,86.23590087890625,0.40775638818740845
60,333.29998779296875,172.0,1.0,85.68550109863281,0.31136637926101685
61,320.8999938964844,136.0,1.0,80.9532699584961,0.3089313805103302
62,348.0,220.0,1.0,81.06875610351562,0.18850937485694885
63,295.5,65.0,1.0,80.96988677978516,3.2147297859191895
64,385.1000061035156,344.0,1.0,77.54010009765625,0.26096397638320923
65,423.1000061035156,479.0,1.0,74.49668884277344,3.380812883377075
66,323.5,225.0,1.0,74.33724975585938,0.24274326860904694
67,316.3999938964844,116.0,1.0,74.31299591064453,0.19125938415527344
68,374.0,355.0,1.0,70.6103286743164,0.2597966194152832
69,358.79998779296875,272.0,1.0,67.43163299560547,0.17910324037075043
70,325.6000061035156,154.0,1.0,67.49993896484375,0.1138780415058136
71,340.3999938964844,196.0,1.0,67.21388244628906,0.18528175354003906
72,430.29998779296875,442.0,1.0,63.23102569580078,0.1901593804359436
73,387.0,375.0,1.0,62.047481536865234,0.13827121257781982
74,341.6000061035156,194.0,1.0,61.83502197265625,0.19620327651500702
75,330.5,170.0,1.0,58.63790512084961,0.07678040862083435
76,313.29998779296875,107.0,1.0,58.82029342651367,0.1003161370754242
77,332.6000061035156,199.0,1.0,59.2488899230957,0.13610711693763733
78,12.199999809265137,48.0,0.0,58.82318115234375,0.07825504243373871
