episode,return,steps,goal
1,-206.60000000000184,500,0
2,-59.16000000000092,290,1
3,-197.84000000000145,425,1
4,153.2399999999995,500,0
5,-276.6400000000017,500,0
6,579.0799999999992,499,1
7,306.0399999999996,247,1
8,394.2799999999987,500,0
9,705.5999999999991,500,0
10,261.8799999999996,326,1
11,844.959999999999,500,0
12,201.55999999999972,160,1
13,247.55999999999955,250,1
14,413.11999999999944,294,1
15,477.6799999999992,435,1
16,215.07999999999984,108,1
17,688.6399999999992,500,0
18,514.9199999999994,256,1
19,987.9199999999995,406,1
20,719.2399999999997,329,1
21,1399.1200000000051,500,0
22,1150.2800000000007,403,1
23,1223.200000000002,456,1
24,1237.720000000003,500,0
25,1409.2800000000034,456,1
26,1851.2000000000082,500,0
27,1141.280000000001,330,1
28,616.7999999999996,181,1
29,1260.7600000000032,378,1
30,1327.160000000004,384,1
31,729.5599999999996,212,1
32,1696.8000000000088,500,0
33,1012.7599999999998,274,1
34,581.3599999999998,147,1
35,815.4399999999993,245,1
36,1266.2400000000027,364,1
37,1609.9600000000062,500,0
38,1256.0400000000022,331,1
39,1952.6400000000092,500,0
40,1154.5200000000011,272,1
41,803.6399999999998,205,1
42,980.5199999999996,231,1
43,479.19999999999976,101,1
44,1978.6400000000071,402,1
45,692.1199999999994,148,1
46,2116.9200000000096,500,0
47,1845.0400000000059,401,1
48,2275.440000000009,500,0
49,1965.1200000000076,500,0
50,1000.2400000000002,223,1
51,2295.8800000000106,500,0
52,2328.040000000011,500,0
53,2087.360000000008,448,1
54,2534.8400000000133,500,0
55,944.9199999999995,184,1
56,2725.640000000012,500,0
57,2746.0800000000136,500,0
58,2678.360000000011,500,0
59,2565.4400000000105,500,0
60,2696.2000000000135,500,0
61,2500.8000000000116,500,0
62,2809.760000000013,500,0
63,2300.7600000000093,500,0
64,2480.4000000000124,500,0
65,2586.4800000000128,500,0
66,2528.5200000000114,500,0
67,2817.8400000000156,500,0
68,1536.720000000004,373,1
69,2752.9200000000137,500,0
70,2866.200000000016,500,0
71,2606.4800000000146,500,0
72,2046.8400000000079,367,1
73,1877.3600000000067,325,1
74,2901.680000000016,500,0
75,2743.520000000014,500,0
76,2549.2000000000107,500,0
77,2592.6000000000126,500,0
78,2847.640000000015,500,0
79,2234.5200000000123,500,0
80,2418.8000000000106,500,0
81,2678.840000000011,500,0
82,2567.1200000000126,500,0
83,2426.9600000000105,500,0
84,2793.0000000000123,500,0
85,2874.920000000015,500,0
86,2607.7200000000107,442,1
87,2840.1600000000126,500,0
88,671.4,117,1
89,2889.5200000000145,500,0
90,2926.0000000000155,500,0
91,1710.4000000000055,301,1
92,2213.720000000009,414,1
93,2858.9200000000137,500,0
94,2478.560000000011,432,1
95,2431.6400000000117,500,0
96,2750.760000000013,500,0
97,2755.9600000000123,500,0
98,514.8399999999999,138,1
99,2735.3600000000133,500,0
100,1339.760000000002,253,1
101,2550.3200000000115,500,0
102,2745.2400000000125,500,0
103,2658.8000000000147,500,0
104,1684.320000000004,388,1
105,2718.440000000013,500,0
106,2753.200000000013,500,0
107,1855.5200000000068,500,0
108,2092.2800000000043,500,0
109,2121.280000000005,500,0
110,2507.640000000012,425,1
111,2375.5200000000095,500,0
112,2353.2400000000125,500,0
113,2253.0000000000127,500,0
114,2588.1200000000135,458,1
115,2909.440000000016,500,0
116,2800.320000000014,500,0
117,2967.240000000016,500,0
118,2608.120000000012,500,0
119,1549.240000000004,266,0
