episode,episode_return,episode_steps,episode_goal_reached,q_value_mean,loss
1,724.7999877929688,1300.0,1.0,2.1167843341827393,0.048740204423666
2,461.75,673.0,1.0,2.2577171325683594,0.057880621403455734
3,794.7000122070312,1198.0,1.0,5.04479455947876,3.152384042739868
4,496.8999938964844,466.0,1.0,5.740932941436768,0.05154700577259064
5,459.3999938964844,416.0,1.0,6.684621810913086,0.09929253160953522
6,656.3499755859375,1213.0,1.0,6.121888160705566,0.08578098565340042
7,448.54998779296875,361.0,1.0,7.035147666931152,0.04935542866587639
8,745.8499755859375,1247.0,1.0,9.336865425109863,0.06900817155838013
9,839.2000122070312,1604.0,1.0,11.146732330322266,6.405030727386475
10,608.7000122070312,790.0,1.0,12.083942413330078,0.06077633053064346
11,642.0499877929688,907.0,1.0,11.235374450683594,0.08600965142250061
12,653.75,897.0,1.0,13.372088432312012,0.08126255869865417
13,522.5,562.0,1.0,13.265962600708008,0.07185506075620651
14,632.7999877929688,836.0,1.0,13.13287353515625,0.09492131322622299
15,444.6499938964844,247.0,1.0,13.379609107971191,0.08674126118421555
16,447.04998779296875,311.0,1.0,14.509747505187988,0.14548549056053162
17,774.4000244140625,1076.0,1.0,14.762845993041992,0.06979688256978989
18,663.5999755859375,796.0,1.0,14.746099472045898,0.12931253015995026
19,529.2000122070312,508.0,1.0,15.273048400878906,0.13329023122787476
20,827.75,1241.0,1.0,15.497663497924805,0.07147438079118729
21,875.4000244140625,1360.0,1.0,15.37852668762207,0.07440772652626038
22,610.2999877929688,646.0,1.0,15.042798042297363,0.09991643577814102
23,570.4500122070312,531.0,1.0,14.700286865234375,0.09225363284349442
24,581.0999755859375,590.0,1.0,14.574653625488281,0.11737721413373947
25,602.2999877929688,678.0,1.0,15.254034996032715,0.08534374088048935
26,663.5499877929688,781.0,1.0,15.578924179077148,0.06295676529407501
27,930.0999755859375,1466.0,1.0,15.01188850402832,0.10076534748077393
28,754.4500122070312,1011.0,1.0,15.76042366027832,0.06740178167819977
29,576.5999755859375,552.0,1.0,15.053707122802734,0.08820438385009766
30,530.8499755859375,523.0,1.0,15.291242599487305,0.14607396721839905
31,423.95001220703125,261.0,1.0,15.654012680053711,0.07115010917186737
32,571.9000244140625,534.0,1.0,15.49600601196289,0.10165397822856903
33,469.04998779296875,303.0,1.0,15.038957595825195,0.08742474019527435
34,525.2000122070312,412.0,1.0,15.259235382080078,0.07807488739490509
35,560.0499877929688,531.0,1.0,15.290971755981445,0.06975175440311432
36,640.0,740.0,1.0,15.318855285644531,3.2079172134399414
37,795.6500244140625,1099.0,1.0,14.664338111877441,0.07380928099155426
38,519.25,435.0,1.0,15.395122528076172,0.1023806780576706
39,633.4000244140625,712.0,1.0,15.739448547363281,0.04936794191598892
40,529.2000122070312,444.0,1.0,15.325714111328125,0.056320130825042725
41,556.4000244140625,524.0,1.0,14.912151336669922,0.08746630698442459
42,469.25,315.0,1.0,15.273975372314453,6.330431938171387
43,492.5,346.0,1.0,14.899256706237793,0.0926356390118599
44,567.7999877929688,600.0,1.0,15.026254653930664,0.0741761177778244
