episode,return,steps,goal
1,-735.0000000000065,500,0
2,-712.9300000000062,500,0
3,-705.0000000000052,500,0
4,-757.0000000000055,500,0
5,-271.929999999997,500,0
6,-126.2999999999974,500,0
7,-15.1600000000001,500,0
8,171.1000000000015,500,0
9,319.11000000000155,500,0
10,466.87000000000285,500,0
11,911.9699999999942,486,1
12,1057.2699999999938,500,0
13,608.7899999999998,500,0
14,844.3999999999945,500,0
15,753.1899999999956,500,0
16,1069.4499999999923,500,0
17,529.050000000002,500,0
18,514.1200000000023,500,0
19,797.889999999996,500,0
20,1153.079999999997,500,0
21,1365.160000000001,500,0
22,1363.0700000000008,500,0
23,1428.0000000000005,500,0
24,1521.0700000000018,500,0
25,1498.8500000000029,500,0
26,1683.9000000000015,500,0
27,1697.9700000000028,500,0
28,1848.5300000000043,500,0
29,1719.950000000004,500,0
30,1583.8300000000029,500,0
31,1871.2800000000054,500,0
32,1994.280000000007,500,0
33,2115.6900000000046,500,0
34,2136.2300000000014,500,0
35,2274.420000000001,500,0
36,2425.049999999998,500,0
37,2268.7500000000005,500,0
38,2454.6099999999947,500,0
39,2476.5199999999973,500,0
40,2852.219999999989,500,0
41,2703.6299999999937,500,0
42,2999.58999999999,500,0
43,2937.5199999999904,500,0
44,3071.3599999999933,500,0
45,2987.2699999999877,500,0
46,2857.7299999999886,500,0
47,3044.3199999999915,500,0
48,2964.709999999987,500,0
49,2977.2399999999907,500,0
50,2597.909999999996,500,0
51,2969.519999999992,500,0
52,3078.079999999991,500,0
53,3235.549999999989,500,0
54,3367.6899999999873,500,0
55,3163.549999999989,500,0
56,3136.619999999993,500,0
57,2113.9500000000103,500,0
58,2218.7500000000005,500,0
59,2436.589999999998,500,0
60,2491.939999999997,500,0
61,2738.1299999999915,500,0
62,1693.6200000000013,500,0
63,2731.58999999999,500,0
64,2804.8699999999913,500,0
65,2579.6299999999956,500,0
66,2363.2099999999946,500,0
67,2285.740000000001,500,0
68,2754.439999999993,500,0
69,2830.7999999999934,500,0
70,2267.21,500,0
71,2696.4699999999934,500,0
72,2890.659999999993,500,0
73,2635.9399999999982,500,0
74,2645.9099999999976,406,1
75,2734.0799999999967,500,0
76,2981.9699999999916,500,0
77,2574.2899999999977,438,1
78,2615.7999999999984,500,0
79,3016.019999999987,500,0
80,3090.599999999986,500,0
81,3352.1499999999905,500,0
82,1709.9000000000015,367,1
83,2490.149999999996,438,1
84,3822.3099999999977,500,0
85,2838.1899999999955,500,0
86,2459.4999999999995,453,1
87,2984.759999999994,500,0
88,3672.489999999991,500,0
89,3830.149999999991,500,0
90,2513.0299999999997,500,0
91,3167.8499999999926,500,0
92,2990.829999999994,500,0
93,1129.2999999999988,216,1
94,3624.769999999995,500,0
95,2023.2100000000066,500,0
96,2160.000000000003,500,0
97,2672.11999999999,500,0
98,3070.499999999993,500,0
99,2749.1199999999967,405,1
100,3546.509999999991,500,0
101,1967.8300000000022,297,1
102,3208.9899999999907,500,0
103,3377.5199999999854,500,0
104,3112.6699999999923,457,1
105,2713.5999999999904,500,0
106,3094.159999999988,500,0
107,2559.5899999999983,374,1
108,3539.8799999999896,500,0
109,3462.3199999999897,500,0
110,2312.6499999999996,500,0
111,2732.349999999996,420,1
112,1373.8600000000004,206,1
113,1965.2600000000023,349,1
114,2722.5399999999936,500,0
115,2960.8099999999936,417,1
116,3267.8399999999883,500,0
117,2783.6699999999923,500,0
118,3532.1899999999887,500,0
119,3215.8599999999888,500,0
120,3609.0299999999866,500,0
121,3699.7999999999847,500,0
122,3753.449999999984,500,0
123,3954.729999999983,500,0
124,3999.939999999983,500,0
125,3707.5899999999865,500,0
126,3548.2399999999875,500,0
127,1106.6299999999987,162,1
128,3146.1699999999905,500,0
129,3236.749999999989,500,0
130,2657.8999999999937,500,0
131,3016.6499999999915,500,0
132,3483.9599999999823,500,0
133,2878.6599999999885,500,0
134,2420.4200000000023,500,0
135,2274.7500000000014,387,1
136,3347.5599999999818,500,0
137,2677.4399999999937,500,0
138,3705.469999999984,500,0
