episode,return,steps,goal
1,-188.6000000000019,500,0
2,479.91999999999905,429,1
3,358.04000000000013,253,1
4,248.2399999999987,498,1
5,-76.60000000000201,500,0
6,764.8399999999992,323,1
7,421.3599999999998,152,1
8,768.6799999999992,316,1
9,1088.7999999999993,500,0
10,1140.2399999999986,298,1
11,840.0399999999988,313,1
12,800.4799999999993,326,1
13,1011.1999999999978,500,0
14,1332.200000000002,500,0
15,939.199999999999,255,1
16,1605.6000000000074,500,0
17,1375.5600000000015,467,1
18,737.999999999998,500,0
19,1700.8800000000028,361,1
20,834.7599999999991,172,1
21,1141.9999999999984,225,1
22,1792.2000000000078,500,0
23,1202.4799999999984,311,1
24,1249.199999999999,235,1
25,2067.9600000000073,477,1
26,2359.200000000016,500,0
27,2286.0000000000123,500,0
28,1592.8000000000004,350,1
29,1316.1199999999992,274,1
30,1975.4000000000074,500,0
31,1317.839999999999,238,1
32,1248.5999999999988,305,1
33,1009.1999999999988,225,1
34,1516.5600000000018,257,1
35,2281.240000000012,483,1
36,1367.1599999999992,222,1
37,1758.2800000000047,291,1
38,2690.2000000000153,500,0
39,1979.600000000015,500,0
40,2004.6000000000165,500,0
41,2632.800000000014,500,0
42,2756.800000000015,500,0
43,2469.2400000000143,458,1
44,1998.1200000000033,334,1
45,2361.6000000000213,500,0
46,2137.6400000000062,358,1
47,2645.000000000022,500,0
48,2582.8000000000225,500,0
49,2522.4000000000224,500,0
50,2458.2000000000226,500,0
51,2813.600000000015,500,0
52,2532.8000000000143,500,0
53,2839.6000000000167,500,0
54,2639.6000000000176,500,0
55,1651.0400000000004,208,1
56,2510.6000000000145,500,0
57,1504.3999999999992,210,1
58,3392.600000000021,500,0
59,2122.6400000000067,373,1
60,2539.400000000011,385,1
61,2139.3600000000015,317,1
62,1715.3599999999997,217,1
63,1502.4400000000012,228,1
64,2760.1600000000103,392,1
65,3220.600000000023,500,1
66,2915.000000000028,500,0
67,3465.960000000014,487,1
68,2595.4400000000064,353,1
69,2247.080000000002,311,1
70,2179.800000000007,500,0
71,3132.8000000000247,500,0
72,2052.200000000002,250,1
73,500.52,39,1
74,2056.720000000003,264,1
75,1396.479999999999,171,1
76,3453.400000000017,500,0
77,1882.800000000003,260,1
78,2278.3200000000033,304,1
79,1279.7599999999993,152,1
80,1145.2399999999986,173,1
81,3555.8000000000193,500,0
82,2975.8000000000247,500,0
83,3420.200000000019,500,0
84,3294.0000000000136,500,0
85,3324.6000000000213,500,0
86,3180.2000000000094,410,1
87,3259.2000000000235,500,0
88,3613.00000000002,500,0
89,3312.400000000014,500,0
90,3168.200000000006,500,0
91,2593.8000000000184,500,0
92,3550.6000000000195,500,0
93,3437.8000000000343,500,0
94,3458.0000000000227,500,0
95,3073.800000000014,400,1
96,3176.080000000014,436,1
97,3485.2000000000203,500,0
98,1265.239999999999,183,1
99,2664.8800000000115,431,1
100,2265.4400000000032,298,1
101,1723.2000000000025,240,1
102,3168.2000000000216,500,0
103,3175.2000000000307,500,0
104,3238.400000000032,500,0
105,2641.8400000000092,353,1
106,3295.4000000000324,500,0
107,2265.400000000015,500,0
108,3121.200000000028,500,0
109,3367.2000000000294,500,0
110,2654.6800000000067,346,1
111,3400.8000000000166,500,0
112,3578.8000000000156,500,0
113,3802.8400000000156,498,1
114,3648.400000000016,500,0
115,3602.2000000000207,500,0
116,2585.840000000011,423,1
117,3137.400000000029,500,0
118,3175.40000000003,500,0
119,1627.1200000000013,294,1
120,3624.6000000000163,500,0
121,3729.200000000012,500,0
122,1690.3200000000018,204,1
123,858.5599999999995,77,1
124,3971.0000000000146,500,0
125,809.5599999999988,107,0
