episode,return,steps,goal
1,-690.930000000005,500,0
2,-603.7900000000027,500,0
3,-614.8600000000031,500,0
4,-585.7200000000034,500,0
5,-163.12999999999727,500,0
6,9.290000000002259,500,0
7,-430.87999999999704,500,0
8,178.5700000000013,500,0
9,303.55000000000194,500,0
10,494.7400000000026,500,0
11,514.3900000000025,500,0
12,726.1399999999968,500,0
13,615.5399999999976,500,0
14,869.4099999999961,469,1
15,666.7699999999982,500,0
16,587.1200000000007,500,0
17,646.9399999999981,500,0
18,1329.7899999999981,500,0
19,1081.3199999999924,500,0
20,1125.8799999999935,500,0
21,1224.7199999999973,500,0
22,1121.389999999997,500,0
23,1691.4000000000037,500,0
24,971.8699999999986,500,0
25,1371.7,500,0
26,1295.5999999999983,416,1
27,1360.0800000000004,500,0
28,1819.320000000004,500,0
29,1649.4300000000019,500,0
30,2152.5500000000047,500,0
31,2176.0600000000036,500,0
32,2381.5299999999997,500,0
33,2155.110000000002,500,0
34,2637.279999999995,500,0
35,2696.559999999992,500,0
36,1318.9399999999991,267,1
37,2412.209999999999,500,0
38,2631.3299999999945,500,0
39,2820.6099999999924,500,0
40,3022.3099999999904,500,0
41,3230.7999999999884,500,0
42,3230.219999999989,500,0
43,3178.16999999999,500,0
44,3054.3799999999896,500,0
45,3116.6599999999894,500,0
46,3338.569999999986,500,0
47,3661.0099999999848,500,0
48,3803.029999999983,500,0
49,4016.7299999999827,500,0
50,3663.029999999986,500,0
51,3889.3799999999833,500,0
52,3816.3999999999833,500,0
53,4050.7299999999814,500,0
54,3692.189999999986,500,0
55,3912.309999999984,500,0
56,4012.5199999999822,500,0
57,3654.3999999999833,500,0
58,3667.8399999999847,500,0
59,3950.099999999983,500,0
60,3861.4699999999852,500,0
61,4059.239999999981,500,0
62,3511.6099999999865,477,1
63,3834.189999999982,500,0
64,3453.4899999999825,500,0
65,3869.679999999984,500,0
66,3810.049999999982,500,0
67,3759.3299999999836,500,0
68,3517.3999999999887,500,0
69,3645.3799999999874,500,0
70,3684.1499999999874,500,0
71,3331.2799999999893,500,0
72,3962.2899999999836,500,0
73,3989.039999999987,500,0
74,3193.999999999989,500,0
75,3393.1899999999832,500,0
76,2628.3899999999962,500,0
77,3774.9599999999873,500,0
78,3033.7899999999877,500,0
79,1719.5700000000013,262,1
80,2995.769999999992,500,0
81,3078.7699999999913,500,0
82,1492.8000000000027,500,0
83,1858.4900000000043,500,0
84,2812.1199999999903,500,0
85,2758.3499999999904,500,0
86,2761.6599999999917,500,0
87,3472.709999999991,500,0
88,2998.139999999994,500,0
89,3801.059999999986,500,0
90,2953.5099999999916,500,0
91,1406.1400000000008,500,0
92,1931.4700000000066,500,0
93,3003.3699999999926,500,0
94,2329.2999999999993,500,0
95,1535.2100000000034,500,0
96,1323.8399999999979,500,0
97,2476.169999999999,500,0
98,1056.0199999999975,283,1
99,3238.0699999999865,500,0
100,2486.879999999999,500,0
101,2067.480000000001,500,0
102,3869.8199999999806,500,0
103,3294.7199999999893,500,0
104,3301.159999999983,500,0
105,2629.579999999992,500,0
106,2810.41999999999,500,0
107,3532.659999999987,500,0
108,3137.979999999981,500,0
109,2740.559999999999,500,0
110,3452.3799999999874,500,0
111,3540.13999999999,500,0
112,2930.9999999999877,500,0
113,2020.150000000003,278,1
114,3564.539999999986,500,0
115,3047.9599999999946,500,0
116,3585.239999999982,500,0
117,2875.0999999999935,500,0
118,3994.639999999985,500,0
119,821.6099999999994,144,1
120,3837.819999999981,500,0
121,3144.2099999999896,500,0
122,3196.209999999991,500,0
123,3733.6799999999853,500,0
124,1979.9200000000053,500,0
125,2948.2099999999937,500,0
126,2274.8799999999987,380,1
127,3490.5199999999877,500,0
128,3232.4499999999916,500,0
129,3046.37999999999,500,0
130,2716.6499999999974,500,0
131,2187.8100000000013,500,0
132,3380.519999999991,500,0
133,3894.779999999984,500,0
134,3488.9399999999873,500,0
135,2962.1599999999935,500,0
136,1277.5499999999984,500,0
137,1851.420000000003,500,0
138,2047.9600000000062,500,0
139,1721.65,500,0
140,1900.010000000002,500,0
141,1917.3800000000083,500,0
142,2042.1700000000071,500,0
143,2032.2200000000082,500,0
144,1388.6900000000055,500,0
145,2792.0499999999943,500,0
146,1458.919999999997,500,0
147,1905.740000000002,500,0
148,2039.070000000006,500,0
149,2138.2800000000047,500,0
150,2743.989999999995,456,1
151,2298.2599999999948,500,0
