episode,episode_return,episode_steps,episode_goal_reached,q_value_mean,loss
1,687.8499755859375,999.0,1.0,1.5671617984771729,0.031066637486219406
2,628.7999877929688,1396.0,1.0,3.2069878578186035,0.07646791636943817
3,808.5,1338.0,1.0,5.808749198913574,0.0837569534778595
4,460.79998779296875,596.0,1.0,6.549344539642334,0.13529157638549805
5,718.9500122070312,1049.0,1.0,7.660924911499023,0.08283045887947083
6,651.1500244140625,1029.0,1.0,8.449790000915527,0.09147435426712036
7,566.9500122070312,697.0,1.0,8.978922843933105,0.06421568244695663
8,605.25,811.0,1.0,9.15184211730957,0.05632030963897705
9,597.0,816.0,1.0,10.455081939697266,0.08188521862030029
10,776.5499877929688,1241.0,1.0,10.940889358520508,0.1204400360584259
11,831.7000122070312,1258.0,1.0,11.868547439575195,3.207263946533203
12,567.2999877929688,610.0,1.0,12.04382610321045,0.10444939136505127
13,782.0999755859375,1226.0,1.0,12.33069896697998,0.08345301449298859
14,630.9000244140625,650.0,1.0,13.628948211669922,0.12968380749225616
15,734.4000244140625,900.0,1.0,13.313894271850586,0.0660247802734375
16,766.5999755859375,992.0,1.0,14.721551895141602,0.10985151678323746
17,564.7999877929688,500.0,1.0,13.513936042785645,0.08999501168727875
18,749.7000122070312,1010.0,1.0,14.209726333618164,3.2144174575805664
19,526.5999755859375,432.0,1.0,14.457307815551758,0.09284180402755737
20,541.8499755859375,479.0,1.0,15.082730293273926,0.09925859421491623
21,683.0999755859375,806.0,1.0,14.748953819274902,0.06186727434396744
22,556.5,522.0,1.0,14.938573837280273,0.07627145946025848
23,531.9500122070312,501.0,1.0,15.305136680603027,0.06494767963886261
24,547.2000122070312,548.0,1.0,15.29539966583252,0.09612933546304703
25,483.79998779296875,408.0,1.0,14.249886512756348,0.059943459928035736
26,680.2999877929688,798.0,1.0,14.909029006958008,0.07312334328889847
27,613.9000244140625,574.0,1.0,15.44725513458252,0.07930079102516174
28,529.3499755859375,457.0,1.0,14.370092391967773,0.08401864767074585
