episode,return,steps,goal
1,93.91999999999877,369,1
2,505.43999999999903,453,1
3,497.5599999999995,332,1
4,-291.0000000000019,500,0
5,360.2399999999993,463,1
6,518.7999999999995,225,1
7,1033.7999999999977,500,0
8,905.3999999999988,500,0
9,1004.6399999999979,388,1
10,1178.2799999999988,366,1
11,1068.5199999999982,369,1
12,780.4799999999989,261,1
13,1498.440000000002,458,1
14,1205.6000000000013,500,0
15,1520.1200000000013,444,1
16,722.6399999999994,173,1
17,1227.959999999998,407,1
18,864.2399999999994,178,1
19,1444.6000000000074,500,0
20,1527.8000000000031,385,1
21,1581.6000000000024,390,1
22,1494.6800000000028,331,1
23,1105.3999999999985,250,1
24,1076.639999999999,188,1
25,1721.6000000000101,500,0
26,1050.7999999999981,500,0
27,2530.080000000011,491,1
28,2027.8000000000084,500,0
29,1612.4800000000025,271,1
30,1449.7999999999981,285,1
31,1243.1199999999988,244,1
32,2280.800000000008,395,1
33,2134.8000000000147,500,0
34,1288.9999999999986,185,1
35,2083.8000000000093,500,0
36,2079.2000000000153,500,0
37,2139.800000000005,425,1
38,2292.200000000014,500,0
39,1912.6800000000005,286,1
40,2413.2000000000176,500,0
41,2212.080000000008,391,1
42,1747.3600000000015,262,1
43,1764.2800000000027,301,1
44,2736.2000000000166,500,0
45,2965.600000000019,500,0
46,2904.00000000002,500,0
47,1107.9999999999984,155,1
48,1366.4399999999996,208,1
49,2774.920000000015,469,1
50,2761.2000000000203,500,0
51,1188.3199999999986,194,1
52,1338.6800000000003,241,1
53,2679.160000000015,432,1
54,1251.5599999999981,172,1
55,3143.800000000016,500,0
56,2807.000000000025,500,0
57,1916.960000000002,297,1
58,3070.160000000011,472,1
59,2307.0000000000036,330,1
60,1428.8399999999988,173,1
61,1739.9600000000003,252,1
62,2863.240000000015,458,1
63,2904.2000000000207,500,0
64,3200.000000000022,500,0
65,1545.959999999999,212,1
66,2365.32000000001,364,1
67,3098.000000000021,500,0
68,3027.800000000027,500,0
69,2958.8000000000284,500,0
70,2007.1200000000006,259,1
71,3493.200000000018,500,0
72,3287.6800000000203,481,1
73,2976.8800000000065,386,1
74,2423.400000000008,500,0
75,3466.000000000023,500,0
76,1584.9199999999987,199,1
77,2497.040000000004,323,1
78,3301.2000000000257,500,0
79,2015.039999999998,238,1
80,3458.8000000000216,500,0
81,3176.0000000000173,500,0
82,3650.600000000023,500,0
83,2484.8800000000074,331,1
84,2522.1600000000044,327,1
85,2564.2000000000044,320,1
86,1563.1599999999992,197,1
87,3390.0000000000236,500,0
88,3397.8000000000266,500,0
89,3663.000000000023,500,0
90,2978.7600000000084,377,1
91,1163.159999999999,127,1
92,3851.6000000000267,500,0
93,1846.8000000000006,215,1
94,657.6399999999994,53,1
95,1510.8799999999983,181,1
96,1483.8799999999999,196,1
97,3946.7200000000207,474,1
98,3266.4800000000164,401,1
99,2406.6000000000017,275,1
100,1483.2800000000002,171,1
101,3133.5200000000127,414,1
102,3113.0000000000114,400,1
103,3749.0000000000214,500,0
104,3971.4000000000283,500,0
105,1831.2399999999993,213,1
106,3866.4000000000283,500,0
107,3983.200000000024,490,1
108,3555.400000000015,435,1
109,3882.0000000000255,500,0
110,3812.6000000000217,500,0
111,3919.000000000023,500,0
112,4054.0800000000218,496,1
113,3619.00000000002,500,0
114,3901.8000000000256,500,0
115,3368.200000000021,500,0
116,2596.2000000000166,500,0
117,3917.400000000029,500,0
118,3836.8000000000284,500,0
119,3714.8000000000216,500,0
120,3530.400000000018,500,0
121,3620.400000000018,500,0
122,4043.400000000028,500,0
123,3831.8000000000247,500,0
124,3224.2000000000317,500,0
125,3081.0000000000214,500,0
126,3724.000000000021,500,0
127,835.2799999999992,126,0
