episode,return,steps,goal
1,-234.76000000000118,369,1
2,99.95999999999918,453,1
3,109.99999999999991,332,1
4,-412.4800000000017,500,0
5,-3.6800000000010336,465,1
6,191.28000000000003,373,1
7,524.4399999999996,389,1
8,329.07999999999896,500,0
9,348.87999999999965,359,1
10,248.7199999999997,229,1
11,599.7599999999999,307,1
12,298.7199999999996,205,1
13,368.5999999999995,264,1
14,383.3199999999997,244,1
15,183.6399999999997,217,1
16,153.35999999999984,111,1
17,604.7199999999989,460,1
18,997.6399999999992,447,1
19,465.67999999999967,242,1
20,1019.3999999999992,490,1
21,862.9999999999998,312,1
22,1083.6400000000003,471,1
23,435.95999999999975,171,1
24,609.7599999999995,266,1
25,461.8399999999999,238,1
26,618.7599999999996,257,1
27,1327.4800000000037,450,1
28,932.0799999999996,333,1
29,601.5199999999999,203,1
30,1102.080000000002,382,1
31,506.67999999999984,208,1
32,517.0799999999997,150,1
33,1254.0800000000029,380,1
34,1576.8000000000075,494,1
35,784.8799999999998,239,1
36,1594.160000000009,500,0
37,1224.8000000000009,355,1
38,1298.640000000004,383,1
39,1429.4000000000026,416,1
40,1546.4000000000042,415,1
41,1198.0000000000014,320,1
42,1913.440000000006,459,1
43,1005.7999999999998,259,1
44,1256.360000000002,304,1
45,781.5599999999998,185,1
46,1238.8000000000018,321,1
47,1603.3600000000024,388,1
48,500.5599999999998,104,1
49,604.1599999999999,136,1
50,1272.5600000000022,293,1
51,520.3199999999997,137,1
52,1993.8000000000102,500,0
53,1470.6000000000024,289,1
54,859.2000000000002,178,1
55,743.4,163,1
56,1211.3600000000008,244,1
57,2326.840000000009,500,0
58,765.6000000000001,154,1
59,2009.1200000000067,423,1
60,2387.36000000001,500,0
61,2633.240000000011,500,0
62,2363.9200000000105,500,0
63,912.6400000000003,185,1
64,2322.8400000000097,500,0
65,2532.120000000011,500,0
66,2339.6000000000117,500,0
67,984.7200000000001,189,1
68,660.4799999999998,138,1
69,434.3199999999998,86,1
70,860.08,182,1
71,2607.760000000007,500,0
72,988.4800000000001,182,1
73,2646.000000000009,500,0
74,1346.3600000000026,284,1
75,2395.7200000000107,500,0
76,2433.8400000000092,500,0
77,2488.60000000001,500,0
78,2313.4400000000087,478,1
79,2431.2400000000107,500,0
80,2425.1600000000103,500,0
81,2550.4000000000096,500,0
82,2451.2800000000097,500,0
83,2407.9600000000096,492,1
84,2393.0000000000095,500,0
85,2322.8800000000106,500,0
86,2425.160000000008,500,0
87,553.3599999999998,126,1
88,2185.800000000005,500,0
89,2480.040000000005,500,0
90,2762.760000000006,500,0
91,2143.640000000009,500,0
92,2067.4800000000105,500,0
93,2087.0800000000113,500,0
94,1927.2000000000062,500,0
95,2483.6400000000053,500,0
96,2254.9200000000073,500,0
97,2347.400000000005,460,1
98,2522.360000000007,500,0
99,2543.440000000007,500,0
100,2702.440000000006,500,0
101,2661.7200000000043,500,0
102,2667.9200000000073,500,0
103,1520.0000000000032,281,1
104,1956.000000000008,500,0
105,2207.480000000004,500,0
106,2226.9200000000064,500,0
107,2183.5200000000063,500,0
108,2253.32,500,0
109,2262.520000000002,500,0
110,2345.039999999998,500,0
111,2384.4000000000046,500,0
112,2285.5599999999995,500,0
113,2276.960000000002,500,0
114,2272.7999999999993,500,0
115,2239.800000000001,500,0
116,2257.0400000000063,500,0
117,2276.960000000001,500,0
118,2192.5600000000027,500,0
119,2335.76,500,0
120,2845.7200000000075,500,0
121,2899.240000000006,500,0
122,2382.8800000000056,466,1
123,2818.920000000004,494,1
124,2816.7200000000025,500,0
125,2767.880000000005,500,0
126,2954.7599999999975,500,0
127,2870.2000000000025,500,0
128,96.67999999999999,21,0
