episode,episode_return,episode_steps,episode_goal_reached,q_value_mean,loss
1,1079.199951171875,1940.0,1.0,1.4835000038146973,0.07407523691654205
2,781.4000244140625,1128.0,1.0,4.971685409545898,0.04742858558893204
3,2054.60009765625,3184.0,1.0,7.716100692749023,0.051161959767341614
4,2009.550048828125,2677.0,1.0,9.242570877075195,0.06923937797546387
5,2185.300048828125,2778.0,1.0,11.956975936889648,0.04059287905693054
6,1163.4000244140625,1408.0,1.0,13.441866874694824,0.04683157429099083
7,1510.9000244140625,2026.0,1.0,15.176671981811523,0.04686262458562851
8,2542.199951171875,3192.0,1.0,17.140439987182617,0.04722417891025543
9,1452.4000244140625,1644.0,1.0,17.781457901000977,0.04117126390337944
10,3624.14990234375,4849.0,1.0,20.813989639282227,0.0184291061013937
11,1363.199951171875,1556.0,1.0,22.051599502563477,0.03732173889875412
12,1134.8499755859375,1291.0,1.0,22.352420806884766,0.07465456426143646
13,2731.050048828125,3911.0,1.0,24.6281681060791,3.0883164405822754
14,2458.449951171875,3235.0,1.0,26.27798843383789,0.02797054499387741
15,2544.35009765625,3517.0,1.0,28.079021453857422,0.04246263951063156
16,1488.9000244140625,1810.0,1.0,28.78421401977539,0.03872651606798172
17,2190.699951171875,2846.0,1.0,29.74221420288086,0.06974796205759048
18,1659.75,2697.0,1.0,30.975627899169922,0.036341723054647446
19,1810.1500244140625,2233.0,1.0,31.552217483520508,0.041367627680301666
20,1748.75,2421.0,1.0,32.71390151977539,0.05035502091050148
21,1006.9000244140625,1114.0,1.0,32.881561279296875,0.028598543256521225
22,1545.6500244140625,2003.0,1.0,33.32993698120117,0.04198377579450607
23,1747.9000244140625,2326.0,1.0,33.77289962768555,0.023966901004314423
24,3021.25,4059.0,1.0,35.53982162475586,0.025182029232382774
25,1268.6500244140625,1415.0,1.0,36.5560188293457,0.027274206280708313
26,1357.449951171875,1639.0,1.0,36.642093658447266,0.030120253562927246
27,2621.85009765625,3647.0,1.0,37.75897216796875,0.06696388870477676
28,822.1500244140625,793.0,1.0,37.82316970825195,1.5787118673324585
29,1331.5,1790.0,1.0,38.273475646972656,0.034240975975990295
30,782.7000122070312,1614.0,1.0,38.23070526123047,0.026434127241373062
31,2651.39990234375,3536.0,1.0,38.84644317626953,0.04069105535745621
32,2080.050048828125,2659.0,1.0,39.185569763183594,0.07826416194438934
33,848.2000122070312,864.0,1.0,39.5771484375,0.03511682152748108
34,1040.1500244140625,1057.0,1.0,39.989540100097656,0.04693247377872467
35,1174.199951171875,1288.0,1.0,40.04510498046875,0.05406930297613144
36,1590.0999755859375,2106.0,1.0,40.41400146484375,0.047752343118190765
37,1288.25,1535.0,1.0,40.55218505859375,0.051098715513944626
38,831.9500122070312,773.0,1.0,40.801513671875,0.05727730691432953
39,1183.1500244140625,1205.0,1.0,40.772132873535156,0.08758314698934555
40,678.25,647.0,1.0,41.083763122558594,0.09475763887166977
41,1316.6500244140625,1495.0,1.0,41.09998321533203,0.07478825747966766
42,2002.5,2530.0,1.0,41.203407287597656,0.039093486964702606
43,1318.6500244140625,1631.0,1.0,41.33260726928711,2.8001718521118164
44,1167.550048828125,1325.0,1.0,41.1674919128418,0.03328263759613037
45,1133.300048828125,1354.0,1.0,41.140438079833984,0.05326741561293602
46,963.0999755859375,1078.0,1.0,41.26012420654297,0.0642370879650116
47,809.2000122070312,1212.0,1.0,41.367923736572266,0.07814855128526688
48,685.2999877929688,554.0,1.0,41.198116302490234,0.0760418027639389
49,1567.4000244140625,2408.0,0.0,41.29628372192383,0.11709432303905487
