episode,episode_return,episode_steps,episode_goal_reached,q_value_mean,loss
1,585.2999877929688,778.0,1.0,0.48886504769325256,0.03850558027625084
2,812.5,1210.0,1.0,1.5452430248260498,0.12413033843040466
3,633.5499877929688,757.0,1.0,2.9334933757781982,0.04237864166498184
4,897.7000122070312,1042.0,1.0,3.907346725463867,0.06696544587612152
5,930.8499755859375,1195.0,1.0,4.925607681274414,0.07561957836151123
6,2135.0,3096.0,1.0,8.933433532714844,0.04238243028521538
7,2014.699951171875,2910.0,1.0,10.466363906860352,0.05847873166203499
8,1796.3499755859375,2269.0,1.0,12.514021873474121,0.036776572465896606
9,1578.300048828125,1894.0,1.0,14.176862716674805,1.5856449604034424
10,1427.050048828125,1559.0,1.0,14.794565200805664,0.04950261861085892
11,1493.050048828125,2079.0,1.0,16.49547004699707,0.05175241827964783
12,1206.9000244140625,1386.0,1.0,17.76653289794922,0.040213823318481445
13,2456.300048828125,3358.0,1.0,19.97003936767578,0.06194004416465759
14,1957.6500244140625,2483.0,1.0,21.85717010498047,0.06666633486747742
15,1044.800048828125,1012.0,1.0,22.09402084350586,3.0960230827331543
16,1785.5,2902.0,1.0,23.289464950561523,0.05052869766950607
17,1128.199951171875,1216.0,1.0,24.282512664794922,0.046975791454315186
18,650.0499877929688,523.0,1.0,24.140670776367188,0.04840799421072006
19,1743.4000244140625,2224.0,1.0,25.18614387512207,0.03533833101391792
20,1436.5,1946.0,1.0,26.024394989013672,0.05014900863170624
21,1241.699951171875,1522.0,1.0,27.372825622558594,0.04901476204395294
22,2584.35009765625,3933.0,1.0,29.300498962402344,2.981321096420288
23,2019.4000244140625,2912.0,1.0,30.0162410736084,0.06667602062225342
24,1603.9000244140625,1814.0,1.0,30.82892608642578,0.056372933089733124
25,1811.050048828125,2295.0,1.0,31.910968780517578,0.044075317680835724
26,929.2999877929688,1290.0,1.0,32.16357421875,0.052299052476882935
27,1022.75,1165.0,1.0,32.57810592651367,0.08891775459051132
28,1768.300048828125,2094.0,1.0,33.030029296875,0.05237169936299324
29,1384.949951171875,1665.0,1.0,33.75743865966797,0.042613379657268524
30,1508.8499755859375,1747.0,1.0,34.33719253540039,0.048672135919332504
31,1430.449951171875,1603.0,1.0,34.89171600341797,0.08175557851791382
32,1300.9000244140625,1794.0,1.0,35.34401321411133,0.05475956201553345
33,906.9500122070312,873.0,1.0,35.64478302001953,0.07133106142282486
34,1788.6500244140625,2391.0,1.0,36.158172607421875,0.06992584466934204
35,2089.64990234375,2675.0,1.0,36.571250915527344,0.03147890418767929
36,2247.699951171875,2922.0,1.0,37.91116714477539,0.05088365450501442
37,889.1500244140625,925.0,1.0,38.098236083984375,0.027745505794882774
38,835.0,792.0,1.0,38.23051452636719,0.037585411220788956
39,3975.64990234375,5691.0,1.0,38.79922866821289,0.02758091129362583
40,1579.1500244140625,1893.0,1.0,39.303321838378906,0.06206541508436203
41,808.8499755859375,723.0,1.0,39.841400146484375,0.0794166699051857
42,778.6500244140625,735.0,1.0,40.18175506591797,0.04309747368097305
43,936.4500122070312,1243.0,1.0,40.44322967529297,0.09033717215061188
44,695.25,611.0,1.0,40.521339416503906,0.06158077344298363
45,735.75,649.0,1.0,40.639488220214844,0.03463093191385269
46,703.75,585.0,1.0,41.05438995361328,0.08015727251768112
47,743.0999755859375,630.0,1.0,41.13344955444336,0.03821133077144623
48,2979.449951171875,4655.0,1.0,41.41933059692383,0.036817748099565506
49,1128.949951171875,1425.0,1.0,41.814144134521484,0.09479889273643494
50,578.0,604.0,1.0,41.76904296875,0.04791746288537979
51,532.75,453.0,1.0,42.13791275024414,2.792515754699707
52,1215.9000244140625,1654.0,1.0,41.96631622314453,1.618790626525879
53,2343.550048828125,3405.0,1.0,42.64305114746094,0.05996682494878769
54,609.25,411.0,1.0,42.585105895996094,0.10474567115306854
55,1129.199951171875,1276.0,1.0,42.74195861816406,0.03266032785177231
56,1518.699951171875,1774.0,1.0,42.6729621887207,0.07338308542966843
57,961.2000122070312,1332.0,0.0,42.89405059814453,0.04057496786117554
